dataset,dataset_name,context_length,method,method_name,n,primary_metric,primary_score_mean,primary_score_std,accuracy_mean,f1_mean,rouge_l_mean,tracked_gb_mean,budget_gb_mean,peak_vram_gb_mean,n_kept_kv_mean,n_skeleton_mean,n_refresh_mean,n_dropped_mean
longbench_narrativeqa,NarrativeQA,32768,quest_lite,Quest-lite,50,f1,0.311751431574961,0.29312551631226524,0.16,0.311751431574961,0.0,0.20377763840000002,0.20621872312,55.94257296562195,3109.4,0.0,0.0,19731.84
longbench_narrativeqa,NarrativeQA,32768,sagekv_lite,SAGE-KV-lite,50,f1,0.308516539016539,0.3128714788952686,0.18,0.308516539016539,0.0,0.20620509184,0.20621872312,55.94257296562195,3146.44,0.0,0.0,19694.8
longbench_narrativeqa,NarrativeQA,32768,snapkv,SnapKV,50,f1,0.3104736537971832,0.2917024492276019,0.16,0.3104736537971832,0.0,0.20620509184,0.20621872312,55.942658233642575,3146.44,0.0,0.0,19694.8
longbench_narrativeqa,NarrativeQA,32768,streamingllm,StreamingLLM,50,f1,0.2791061161061161,0.28715729407035856,0.14,0.2791061161061161,0.0,0.20620509184,0.20621872312,55.94861932754517,3146.44,0.0,0.0,19694.8
longeval_lines,LongEval-Lines,32768,budgeted_recent_kv,Budgeted Recent KV,50,accuracy,0.0,0.0,0.0,0.0,0.0,0.27128496127999996,0.27129806827999997,58.28621395111084,4139.48,0.0,0.0,28109.0
longeval_lines,LongEval-Lines,32768,budgeted_uniform_kv,Budgeted Uniform KV,50,accuracy,0.0,0.0,0.0,0.0,0.0,0.27128496127999996,0.27129806827999997,58.28621395111084,4139.48,0.0,0.0,28109.0
longeval_lines,LongEval-Lines,32768,duoattention,DuoAttention,50,accuracy,0.0,0.0,0.0,0.0,0.0,0.27128496127999996,0.27129806827999997,58.29039812088013,4139.48,0.0,0.0,28109.0
longeval_lines,LongEval-Lines,32768,full_kv,Full KV,50,accuracy,1.0,0.0,1.0,1.0,0.0,2.11343638528,0.0,58.28621347427368,0.0,0.0,0.0,0.0
longeval_lines,LongEval-Lines,32768,h2o,H2O,50,accuracy,0.12,0.32496153618543844,0.12,0.12,0.0,0.27128496127999996,0.27129806827999997,62.34976627349854,4139.48,0.0,0.0,28109.0
longeval_lines,LongEval-Lines,32768,hmo_full,HMO,50,accuracy,1.0,0.0,1.0,1.0,0.0,0.27128496127999996,0.27129806827999997,58.65268115997314,2.0,58.0,3.0,0.0
